PropType,nbhd,Style,Stories,Year_Built,Rooms,FinishedSqft,Units,Bdrms,Fbath,Hbath,Lotsize,Sale_date,Sale_price
Commercial,6440.0,Sit Down Restaurant,1.0,1981.0,0.0,6755.0,1,0.0,0.0,0.0,42092.0,2020-08-28,560000.0
Lg Apartment,6861.0,Townhouse Apartment,2.0,1968.0,0.0,16630.0,14,0.0,0.0,0.0,41836.0,2020-12-28,1125000.0
Lg Apartment,6621.0,AP2 (Conventional Apt with 7-11 Units),2.0,1963.0,0.0,19144.0,8,4.0,0.0,0.0,40988.0,2019-05-24,450000.0
Lg Apartment,6870.0,AP3 (Conventional Apt with 12-20 Units),2.0,1978.0,0.0,21027.0,19,0.0,0.0,0.0,40946.0,2021-07-27,1350000.0
Residential,4780.0,Cape Cod,1.0,1954.0,9.0,2992.0,1,5.0,3.0,1.0,40946.0,2019-10-03,300000.0
Residential,440.0,Colonial,2.0,2005.0,10.0,2916.0,1,4.0,3.0,1.0,40510.0,2021-05-26,420000.0
Commercial,6432.0,Car Wash,1.0,1963.0,0.0,6463.0,2,0.0,0.0,0.0,40500.0,2019-06-18,3500000.0
Lg Apartment,6870.0,AP3 (Conventional Apt with 12-20 Units),2.0,1968.0,0.0,16498.0,16,0.0,0.0,0.0,40343.0,2021-02-22,1115000.0
Lg Apartment,6870.0,AP3 (Conventional Apt with 12-20 Units),2.0,1975.0,0.0,13048.0,16,2.0,0.0,0.0,40112.0,2019-09-16,800000.0
Residential,440.0,Colonial,2.0,1976.0,7.0,2143.0,1,3.0,2.0,1.0,40075.0,2020-09-18,270000.0
Residential,40.0,Unknown,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,39898.0,2021-07-06,17500.0
Residential,380.0,Milwaukee Bungalow,1.0,1936.0,5.0,1577.0,1,2.0,2.0,0.0,39639.0,2020-11-05,172500.0
Residential,40.0,Cape Cod,1.0,1958.0,6.0,1826.0,1,4.0,1.0,1.0,39204.0,2021-06-18,298500.0
Commercial,6418.0,"Svc Station w Conv, Retail, Restaurant and Carwash",1.0,1997.0,0.0,8597.0,4,0.0,0.0,0.0,39180.0,2021-02-02,1000000.0
Residential,480.0,Duplex O/S,1.5,1920.0,8.0,2138.0,2,3.0,2.0,0.0,39162.0,2021-06-11,230000.0
Commercial,6286.0,Strip Shopping Center,1.0,1987.0,0.0,10890.0,5,0.0,0.0,0.0,39127.0,2021-01-13,1400000.0
Commercial,6252.0,Day Care Center,2.0,1910.0,0.0,18125.0,1,0.0,0.0,0.0,39046.0,2020-09-01,700000.0
Residential,440.0,Colonial,2.0,1992.0,8.0,2558.0,1,3.0,2.0,1.0,38712.0,2021-09-10,375000.0
Lg Apartment,6840.0,AP2 (Conventional Apt with 7-11 Units),2.0,1958.0,0.0,5196.0,8,1.0,0.0,0.0,38436.0,2019-09-24,395000.0
Residential,440.0,Colonial,2.0,1938.0,7.0,2541.0,1,3.0,1.0,2.0,38333.0,2020-10-23,268000.0
Residential,800.0,Colonial,2.0,1995.0,7.0,2141.0,1,3.0,2.0,1.0,38150.0,2021-03-04,365000.0
Lg Apartment,6882.0,AP3 (Conventional Apt with 12-20 Units),2.0,1966.0,0.0,15354.0,16,2.0,0.0,0.0,38141.0,2019-11-07,855000.0
Lg Apartment,6882.0,AP3 (Conventional Apt with 12-20 Units),2.0,1966.0,0.0,15354.0,16,3.0,0.0,0.0,38141.0,2019-11-07,855000.0
Lg Apartment,6974.0,Subsidized Apartments,8.0,1980.0,0.0,85232.0,127,0.0,0.0,0.0,37902.0,2020-03-04,7391800.0
Residential,440.0,Split Level,1.0,1956.0,7.0,1951.0,1,4.0,2.0,0.0,37897.0,2021-12-16,315000.0
Lg Apartment,6976.0,AP4 (Conv Apt with 21 or more Units),4.0,1923.0,0.0,49930.0,59,2.0,0.0,0.0,37868.0,2019-07-15,2448500.0
Lg Apartment,6976.0,AP4 (Conv Apt with 21 or more Units),4.0,1923.0,0.0,49930.0,59,1.0,0.0,0.0,37868.0,2019-07-15,2448500.0
Commercial,6258.0,Store Building - Multiple Tenants,1.0,1911.0,0.0,14710.0,4,0.0,0.0,0.0,37500.0,2021-06-22,1150000.0
Residential,800.0,Milwaukee Bungalow,1.0,1924.0,8.0,1296.0,1,4.0,1.0,0.0,37026.0,2021-04-13,220000.0
Residential,40.0,Colonial,2.0,2006.0,11.0,4978.0,1,4.0,4.0,1.0,36936.0,2020-06-29,430000.0
Commercial,6423.0,Mini Warehouse,2.0,1962.0,0.0,93792.0,720,0.0,0.0,0.0,36609.0,2021-05-25,6775000.0
Residential,440.0,Colonial,2.0,1978.0,8.0,2098.0,1,4.0,2.0,0.0,36590.0,2021-06-04,305000.0
