,Bdrms,Baths_total,FinishedSqft,Lotsize,Sale_date,Year,Month,Sale_price
1950,4,3,1580,14400,2020-10-30,2020,10,179000
1962,4,2,1743,14400,2015-07-01,2015,7,151900
1967,3,4,1784,14400,2018-12-01,2018,12,177000
1970,3,2,1892,14381,2021-07-09,2021,7,221000
1975,3,2,1874,14365,2019-04-26,2019,4,235000
1980,4,3,2495,14316,2018-07-01,2018,7,294900
1984,4,2,1415,14310,2014-09-01,2014,9,155000
1986,4,2,1415,14310,2016-11-01,2016,11,155000
1991,4,3,2684,14292,2019-09-20,2019,9,300000
1992,3,2,1400,14292,2014-08-01,2014,8,136000
1996,4,3,2784,14280,2019-02-19,2019,2,322000
1999,4,3,2385,14280,2018-09-01,2018,9,316000
2003,4,2,1753,14260,2020-04-07,2020,4,200000
2004,4,2,1753,14260,2014-04-01,2014,4,145000
2006,3,2,1556,14250,2022-06-10,2022,6,275000
2009,3,3,2778,14250,2016-06-01,2016,6,252500
2010,3,3,2494,14250,2018-05-01,2018,5,227000
2017,2,3,1224,14193,2020-07-01,2020,7,218400
2018,2,2,1224,14193,2017-01-01,2017,1,115000
2019,9,1,1157,14190,2022-08-18,2022,8,70000
2021,4,2,2075,14184,2022-02-14,2022,2,330000
2026,3,2,2292,14157,2021-05-27,2021,5,305000
2028,4,2,1859,14148,2018-07-01,2018,7,195000
2029,4,2,1176,14144,2017-07-01,2017,7,116000
2033,6,2,1822,14110,2022-01-25,2022,1,183000
2034,2,2,1932,14100,2013-11-01,2013,11,72000
2037,3,2,1941,14070,2020-09-21,2020,9,100000
2039,4,3,2649,14040,2020-04-07,2020,4,325000
2040,5,3,2707,14038,2016-12-01,2016,12,270000
2047,4,3,2864,14002,2017-05-01,2017,5,256000
2059,2,1,980,13975,2022-04-08,2022,4,132000
2073,4,3,1868,13930,2015-07-01,2015,7,65000
2080,8,3,1937,13860,2022-02-04,2022,2,279999
2086,6,1,1238,13840,2022-01-18,2022,1,254000
2087,3,1,1238,13840,2021-05-06,2021,5,158000
2093,4,2,2240,13824,2022-09-01,2022,9,289900
2094,5,3,2287,13804,2014-10-01,2014,10,131900
2097,4,4,2194,13783,2020-06-30,2020,6,312500
2098,4,3,2025,13776,2021-04-14,2021,4,355000
2100,3,3,1903,13770,2018-12-01,2018,12,245000
2103,3,3,1899,13758,2021-01-19,2021,1,275000
2108,3,2,1525,13728,2015-06-01,2015,6,79900
2110,4,2,1985,13716,2022-08-03,2022,8,190000
2112,4,3,2571,13712,2019-10-18,2019,10,299500
2113,3,2,1487,13703,2022-04-14,2022,4,265000
2114,3,1,1487,13703,2016-05-01,2016,5,163000
2124,3,2,1636,13668,2022-09-21,2022,9,325000
2126,4,2,1328,13662,2017-09-01,2017,9,185000
2132,3,2,1378,13632,2023-11-14,2023,11,305000
2133,6,4,3213,13632,2022-08-24,2022,8,275000
2134,3,2,1378,13632,2016-09-01,2016,9,183876
2135,4,2,1612,13630,2022-12-30,2022,12,259900
2136,4,2,1612,13630,2019-07-02,2019,7,185000
2138,4,2,1539,13602,2023-03-08,2023,3,132500
2139,4,2,1539,13602,2023-12-05,2023,12,212000
2141,4,1,1337,13600,2014-05-01,2014,5,90000
2143,8,2,1975,13592,2022-09-01,2022,9,345000
2144,4,2,1975,13592,2021-05-24,2021,5,300000
2145,4,2,1975,13592,2014-06-01,2014,6,215000
2147,4,2,2200,13588,2016-04-01,2016,4,190000
2148,4,2,2134,13585,2017-11-01,2017,11,115000
2149,3,2,1600,13578,2021-03-26,2021,3,133000
2152,4,2,1173,13568,2019-03-25,2019,3,163000
2153,3,3,2186,13564,2015-04-01,2015,4,178000
2158,2,1,874,13548,2016-04-01,2016,4,59900
2160,3,2,1196,13545,2023-07-13,2023,7,266000
2182,3,3,2423,13500,2016-07-01,2016,7,295000
2184,3,1,1259,13500,2017-08-01,2017,8,180000
2189,6,3,4422,13468,2019-09-15,2019,9,226000
2193,4,4,2675,13464,2016-04-01,2016,4,247500
2199,5,2,1510,13438,2023-12-11,2023,12,186850
2205,5,3,2682,13390,2015-08-01,2015,8,254900
2207,4,2,1441,13380,2020-08-25,2020,8,174000
2209,3,2,1795,13380,2019-08-23,2019,8,220000
2210,5,2,2071,13380,2016-12-01,2016,12,135000
2211,4,3,2557,13376,2017-11-01,2017,11,254900
2214,3,2,1326,13365,2014-05-01,2014,5,129900
2215,3,3,2910,13362,2022-04-08,2022,4,325000
2218,6,2,2434,13343,2020-08-28,2020,8,290000
2224,3,2,1261,13317,2016-09-01,2016,9,195000
2225,6,4,3136,13301,2018-06-01,2018,6,275000
2231,4,3,2595,13287,2019-06-27,2019,6,269800
2236,4,2,1790,13260,2022-06-29,2022,6,300000
2237,3,2,1674,13260,2022-12-07,2022,12,326000
2243,4,3,2356,13258,2014-10-01,2014,10,240000
2246,4,2,2159,13250,2020-09-14,2020,9,200000
2247,2,1,974,13248,2017-09-01,2017,9,64000
2249,7,4,3385,13244,2016-03-01,2016,3,285000
2254,4,3,2108,13230,2021-03-03,2021,3,188600
2257,3,2,1365,13200,2023-02-10,2023,2,305000
2258,4,2,1545,13200,2021-10-20,2021,10,225000
2260,3,2,1365,13200,2019-06-07,2019,6,227000
2264,4,2,2045,13200,2017-09-01,2017,9,158000
2271,6,4,2799,13128,2013-08-01,2013,8,310000
2279,3,3,2191,13092,2013-11-01,2013,11,245000
2281,4,4,2552,13092,2016-11-01,2016,11,244000
2284,3,4,2365,13088,2021-12-30,2021,12,375000
2287,4,3,2237,13075,2021-07-06,2021,7,299900
2290,4,3,2431,13068,2019-10-15,2019,10,266900
2292,4,3,2431,13068,2015-06-01,2015,6,229000
2298,4,2,1420,13050,2023-08-10,2023,8,200000
2299,6,2,1678,13044,2022-02-11,2022,2,251660
2300,5,3,2337,13038,2020-08-17,2020,8,250000
2301,4,2,1228,13035,2022-09-14,2022,9,175000
2304,2,1,920,13028,2021-11-04,2021,11,115000
2305,2,1,920,13028,2018-05-01,2018,5,88000
2308,3,3,2016,13000,2022-10-21,2022,10,365000
2309,4,2,1104,13000,2021-07-13,2021,7,100000
2312,4,3,2405,13000,2014-08-01,2014,8,293000
2315,4,4,2672,13000,2016-03-01,2016,3,242000
2317,4,1,1104,13000,2017-06-01,2017,6,60000
2318,4,1,1104,13000,2017-06-01,2017,6,91485
2319,3,4,2247,13000,2018-07-01,2018,7,140000
2322,3,2,2058,12992,2019-08-29,2019,8,250000
2330,4,2,2362,12960,2023-11-01,2023,11,245000
2331,4,1,1186,12960,2022-08-18,2022,8,172900
2332,4,2,2362,12960,2021-08-10,2021,8,179000
2337,4,3,2812,12950,2019-03-29,2019,3,241000
2344,3,3,2320,12905,2021-07-13,2021,7,360000
2353,5,3,2215,12900,2014-12-01,2014,12,242500
2356,4,3,1953,12900,2018-05-01,2018,5,245000
2357,3,3,1788,12895,2021-03-26,2021,3,262000
2360,4,2,1848,12880,2022-11-21,2022,11,200000
2362,3,2,1353,12876,2019-10-29,2019,10,210900
2363,3,2,1353,12876,2016-12-01,2016,12,155000
2366,5,3,2130,12870,2021-03-31,2021,3,246000
2374,3,2,1266,12864,2015-09-01,2015,9,150100
2377,4,3,2698,12852,2016-04-01,2016,4,245200
2379,4,2,1738,12850,2018-05-01,2018,5,180000
2384,4,3,2561,12826,2021-12-09,2021,12,280000
2385,4,3,1926,12825,2017-06-01,2017,6,165000
2390,4,3,1704,12800,2023-11-22,2023,11,297000
2394,3,2,1200,12780,2017-06-01,2017,6,115500
2395,4,3,1877,12779,2020-03-30,2020,3,220000
2396,4,3,1877,12779,2014-10-01,2014,10,155000
2398,2,1,900,12761,2023-08-30,2023,8,105000
2401,5,3,1899,12750,2018-07-01,2018,7,249000
2402,5,3,2730,12745,2013-12-01,2013,12,289900
2403,4,2,1895,12734,2021-10-29,2021,10,285000
