proptype,district,nbhd,style,extwall,stories,year_built,rooms,finishedsqft,units,bdrms,fbath,hbath,lotsize,sale_date,sale_price,sale_year,sale_month
condominium,9.0,5070.0,low rise 1-3 stories,brick,1.0,1974.0,4.0,914.0,1,2.0,1.0,1.0,1.0,2023-07-21,63000.0,2023.0,7.0
condominium,9.0,5070.0,low rise 1-3 stories,brick,1.0,1974.0,5.0,1024.0,1,2.0,2.0,0.0,1.0,2023-11-14,95000.0,2023.0,11.0
condominium,9.0,5070.0,low rise 1-3 stories,brick,1.0,1974.0,5.0,1056.0,1,2.0,1.0,1.0,1.0,2023-08-15,60500.0,2023.0,8.0
condominium,9.0,5070.0,low rise 1-3 stories,brick,1.0,1974.0,5.0,1056.0,1,2.0,1.0,1.0,1.0,2023-06-14,69000.0,2023.0,6.0
condominium,9.0,5070.0,low rise 1-3 stories,brick,1.0,1974.0,5.0,1024.0,1,2.0,2.0,0.0,1.0,2023-04-13,68000.0,2023.0,4.0
condominium,9.0,5070.0,low rise 1-3 stories,brick,1.0,1974.0,8.0,1056.0,1,4.0,1.0,1.0,1.0,2023-01-06,74000.0,2023.0,1.0
condominium,9.0,5070.0,low rise 1-3 stories,brick,1.0,1974.0,10.0,1056.0,1,4.0,1.0,1.0,1.0,2023-10-25,80000.0,2023.0,10.0
condominium,9.0,5070.0,low rise 1-3 stories,brick,1.0,1974.0,5.0,1024.0,1,2.0,2.0,0.0,1.0,2023-04-28,74900.0,2023.0,4.0
condominium,9.0,5068.0,condo townhouse,brick,2.0,1974.0,5.0,1158.0,1,3.0,1.0,1.0,1.0,2023-10-18,109000.0,2023.0,10.0
condominium,9.0,5068.0,condo townhouse,brick,2.0,1974.0,6.0,1436.0,1,3.0,1.0,1.0,1.0,2023-06-21,125000.0,2023.0,6.0
condominium,9.0,5069.0,low rise 1-3 stories,brick,1.5,1978.0,5.0,1292.0,1,1.0,2.0,0.0,1.0,2023-04-28,119900.0,2023.0,4.0
condominium,9.0,5069.0,low rise 1-3 stories,brick,1.5,1978.0,5.0,1292.0,1,1.0,2.0,0.0,1.0,2023-06-21,124000.0,2023.0,6.0
condominium,9.0,5073.0,condo townhouse,brick,2.0,1986.0,10.0,1182.0,1,4.0,1.0,1.0,1.0,2023-08-10,137000.0,2023.0,8.0
condominium,9.0,5073.0,condo ranch,brick,1.0,1986.0,4.0,1008.0,1,2.0,1.0,0.0,1.0,2023-04-21,80000.0,2023.0,4.0
condominium,9.0,5073.0,condo ranch,brick,1.0,1986.0,4.0,1008.0,1,2.0,1.0,0.0,1.0,2023-11-29,89500.0,2023.0,11.0
condominium,9.0,5073.0,condo townhouse,brick,2.0,1986.0,10.0,1152.0,1,4.0,1.0,1.0,1.0,2023-03-24,109000.0,2023.0,3.0
