,Style,Bdrms,Baths_total,FinishedSqft,Sale_date,Year,Month,Sale_price
1033,Cape Cod,4,2,1395,2019-11-14,2019,11,142500
1034,Cape Cod,3,2,1232,2021-02-02,2021,2,141700
1036,Ranch,3,2,1204,2019-06-14,2019,6,190000
1037,Ranch,3,2,1204,2014-08-01,2014,8,140000
1040,Ranch,5,1,1470,2016-08-01,2016,8,190000
1043,Res O/S 2sty +,3,2,2130,2023-11-29,2023,11,316000
1046,Ranch,3,2,1051,2018-06-01,2018,6,207000
1047,Res O/S A & 1/2,4,2,1309,2021-11-16,2021,11,275000
1049,Ranch,3,1,1001,2017-10-01,2017,10,169000
1051,Ranch,3,2,1334,2021-11-09,2021,11,255000
1054,Cape Cod,3,2,1284,2022-01-14,2022,1,149000
1056,Colonial,3,2,2009,2017-08-01,2017,8,249900
1057,Colonial,4,3,2011,2020-07-17,2020,7,242400
1058,Colonial,3,4,2294,2015-10-01,2015,10,292900
1060,Colonial,4,2,1594,2015-03-01,2015,3,110000
1061,Ranch,3,1,1001,2018-02-01,2018,2,141000
1064,Cape Cod,4,2,2828,2022-07-22,2022,7,300000
1065,Cape Cod,4,2,2828,2015-03-01,2015,3,157000
1066,Cape Cod,4,1,1334,2020-08-28,2020,8,127500
1067,Ranch,3,3,1627,2021-02-18,2021,2,230000
1073,Cape Cod,4,2,1617,2013-01-01,2013,1,149900
1077,Tudor,3,1,2469,2016-08-01,2016,8,340000
1079,Cape Cod,3,1,1125,2017-08-01,2017,8,138500
1081,Cape Cod,4,2,1617,2018-04-01,2018,4,192000
1082,Ranch,3,1,1232,2018-07-01,2018,7,167200
1085,Ranch,3,2,1636,2021-08-31,2021,8,239000
1086,Ranch,3,2,1806,2014-11-01,2014,11,137000
1088,Cape Cod,3,3,2188,2018-04-01,2018,4,290000
1089,Colonial,3,3,2069,2013-04-01,2013,4,167900
1090,Colonial,3,3,2069,2017-04-01,2017,4,187000
1094,Ranch,3,1,1010,2013-09-01,2013,9,124999
1097,Ranch,3,2,1226,2021-04-30,2021,4,225000
1099,Duplex O/S,3,2,1716,2018-06-01,2018,6,179900
1102,Ranch,3,2,1607,2020-09-01,2020,9,201167
1105,Ranch,3,2,1493,2022-11-17,2022,11,237000
1106,Cape Cod,2,2,1287,2020-09-08,2020,9,245000
1114,Ranch,3,2,1078,2021-07-23,2021,7,231000
1115,Res O/S 2sty +,3,2,1824,2022-06-08,2022,6,300000
1116,Duplex-Cottage,3,2,1824,2021-11-29,2021,11,140000
1119,Ranch,3,2,1456,2020-07-30,2020,7,180000
1128,Ranch,3,2,1130,2016-07-01,2016,7,154000
1129,Colonial,4,2,1999,2018-02-01,2018,2,188500
1131,Res O/S A & 1/2,2,2,1178,2023-05-09,2023,5,233000
1132,Colonial,4,3,1876,2022-05-24,2022,5,234900
1134,Residence O/S,2,1,988,2015-02-01,2015,2,80000
1135,Residence O/S,2,1,1178,2018-05-01,2018,5,98000
1138,Ranch,2,1,1438,2023-11-01,2023,11,313000
1139,Ranch,2,1,1243,2017-09-01,2017,9,167900
1140,Ranch,3,2,1167,2016-11-01,2016,11,148000
1143,Ranch,3,2,1174,2021-07-30,2021,7,220500
1145,Ranch,3,2,1675,2017-06-01,2017,6,232000
1147,Ranch,3,2,1561,2019-06-14,2019,6,235000
1148,Split Level,4,2,2216,2014-07-01,2014,7,225000
1149,Ranch,3,2,1298,2014-09-01,2014,9,152000
1150,Ranch,3,2,1561,2015-10-01,2015,10,169900
1152,Cape Cod,3,2,1040,2020-10-08,2020,10,152000
1154,Ranch,4,1,1354,2021-02-17,2021,2,185500
1155,Ranch,3,2,936,2023-08-31,2023,8,266000
1156,Ranch,3,2,1039,2022-07-21,2022,7,240000
1157,Colonial,3,3,1970,2022-11-28,2022,11,267500
1158,Cape Cod,4,2,1184,2021-09-13,2021,9,215000
1160,Ranch,3,2,1763,2013-10-01,2013,10,175000
1161,Ranch,3,1,1001,2014-12-01,2014,12,117000
1162,Cape Cod,3,2,1501,2015-06-01,2015,6,87000
1163,Colonial,4,4,2248,2015-07-01,2015,7,195000
1164,Colonial,4,3,2375,2016-08-01,2016,8,238000
1165,Ranch,3,2,1712,2016-11-01,2016,11,150000
1166,Ranch,3,2,1665,2017-02-01,2017,2,147500
1167,Cape Cod,4,3,2793,2017-03-01,2017,3,251000
1168,Cape Cod,4,2,1184,2018-04-01,2018,4,159900
1170,Colonial,4,3,2289,2018-10-01,2018,10,253500
1171,Ranch,4,3,2219,2020-10-05,2020,10,350000
1172,Ranch,4,3,2219,2015-06-01,2015,6,229000
1173,Ranch,3,2,1452,2020-09-14,2020,9,242500
1175,Ranch,3,1,963,2023-02-07,2023,2,151000
1176,Milwaukee Bungalow,2,2,1243,2021-11-09,2021,11,175000
1178,Dplx Bungalow,4,2,1828,2014-12-01,2014,12,192000
1179,Split Level,3,2,1894,2022-12-01,2022,12,340000
1180,Split Level,3,2,1894,2015-06-01,2015,6,190000
1183,Ranch,4,2,1017,2021-06-16,2021,6,215000
1184,Ranch,4,2,1017,2018-08-01,2018,8,170000
1185,Colonial,4,3,1828,2023-02-13,2023,2,275000
1187,Colonial,4,3,2238,2013-02-01,2013,2,260000
1188,Ranch,3,1,1144,2022-11-22,2022,11,135000
1189,Milwaukee Bungalow,4,3,1665,2021-06-17,2021,6,325000
1190,Milwaukee Bungalow,3,2,1293,2014-12-01,2014,12,164000
1194,Milwaukee Bungalow,4,2,1731,2023-04-26,2023,4,342900
1195,Residence O/S,3,2,1625,2019-08-21,2019,8,235000
1196,Ranch,3,2,1856,2013-05-01,2013,5,218000
1197,Residence O/S,2,1,740,2015-10-01,2015,10,102500
1198,Residence O/S,2,1,740,2016-07-01,2016,7,120900
1199,Milwaukee Bungalow,4,2,1359,2016-11-01,2016,11,219300
1200,Ranch,3,1,1517,2017-12-01,2017,12,140000
1203,Colonial,5,2,2106,2014-09-01,2014,9,181000
1220,Residence O/S,4,2,1617,2018-10-01,2018,10,145000
1225,Colonial,3,2,2146,2015-02-01,2015,2,257500
1226,Ranch,3,1,912,2015-06-01,2015,6,121000
1227,Residence O/S,3,1,793,2018-11-01,2018,11,114000
1228,Ranch,2,2,1378,2023-01-25,2023,1,247000
1230,Ranch,4,2,2123,2022-11-21,2022,11,240000
1231,Colonial,3,2,1410,2013-03-01,2013,3,149000
