Bdrms,Baths_total,FinishedSqft,Lotsize,Sale_date,Year_Built,Sale_Year,Sale_price
5,1,1408,3300,2020-10-06,1902.0,2020,105000
3,2,1427,3300,2020-12-22,1926.0,2020,115000
4,1,1106,3300,2023-12-28,1924.0,2023,130000
2,2,1384,3300,2020-11-06,1893.0,2020,130000
4,1,1487,3300,2015-05-01,1928.0,2015,133000
5,1,1225,3300,2020-02-06,1900.0,2020,140000
3,1,1269,3300,2021-03-17,1905.0,2021,140500
4,1,1393,3300,2021-04-09,1928.0,2021,150000
2,1,947,3300,2021-06-17,1925.0,2021,150000
3,1,1032,3300,2017-02-01,1924.0,2017,162500
3,2,1060,3300,2021-02-24,1935.0,2021,168000
3,2,1186,3300,2021-04-19,1926.0,2021,190000
2,2,1116,3300,2021-12-06,1892.0,2021,195000
3,1,1136,3300,2020-05-14,1900.0,2020,211500
6,2,1291,3300,2023-09-25,1926.0,2023,235000
3,2,2008,3300,2013-05-01,1929.0,2013,275000
2,1,952,3317,2018-09-01,1946.0,2018,149900
3,1,1206,3330,2017-01-01,1926.0,2017,80500
3,2,1099,3330,2020-04-24,1953.0,2020,83900
3,1,1188,3330,2017-08-01,1926.0,2017,110000
3,2,1420,3330,2021-12-30,1898.0,2021,155000
8,1,1266,3330,2022-04-04,1910.0,2022,168500
3,1,1008,3330,2022-07-18,1913.0,2022,175000
3,1,896,3330,2021-08-31,1918.0,2021,188000
6,1,942,3330,2022-02-16,1926.0,2022,193000
4,2,2020,3330,2022-05-20,1903.0,2022,350000
4,2,1528,3331,2020-06-29,1900.0,2020,113000
5,1,1680,3337,2021-01-07,1907.0,2021,129000
2,1,1142,3348,2022-05-24,1951.0,2022,125000
3,2,1168,3360,2022-02-25,2006.0,2022,108000
3,2,2150,3360,2022-02-28,1914.0,2022,174900
5,2,1732,3360,2022-07-27,1894.0,2022,255000
5,2,2738,3360,2022-04-28,1905.0,2022,509900
1,1,920,3375,2021-05-06,1898.0,2021,225000
3,1,1494,3382,2022-08-29,1910.0,2022,292000
2,1,1305,3390,2020-08-14,1898.0,2020,182777
3,2,1118,3390,2022-08-24,1918.0,2022,295000
3,2,1760,3401,2016-11-01,1980.0,2016,120000
3,1,1152,3410,2017-10-01,1926.0,2017,98000
3,1,1042,3419,2021-03-26,1926.0,2021,240000
4,2,1424,3420,2020-12-03,1900.0,2020,95000
2,1,804,3420,2017-12-01,1926.0,2017,95000
3,2,974,3420,2017-06-01,1923.0,2017,140000
3,1,1178,3420,2015-05-01,1925.0,2015,145000
3,1,1524,3420,2016-04-01,1926.0,2016,151122
3,2,1552,3420,2022-11-04,1907.0,2022,195900
6,1,1528,3420,2022-03-04,1925.0,2022,244000
3,1,1237,3420,2023-08-04,1954.0,2023,255000
3,1,1524,3420,2021-06-23,1926.0,2021,270010
4,1,1455,3420,2021-09-17,1922.0,2021,300100
4,2,1824,3420,2022-10-03,1890.0,2022,377000
4,2,1504,3423,2021-02-17,2011.0,2021,105000
3,1,1280,3425,2020-03-23,1879.0,2020,251000
3,1,935,3440,2018-05-01,1948.0,2018,135000
2,1,1210,3440,2018-06-01,1925.0,2018,162500
4,2,2019,3440,2015-11-01,1925.0,2015,210000
3,2,1602,3440,2022-10-03,1894.0,2022,290000
3,2,1470,3440,2022-10-07,1931.0,2022,300000
4,2,1631,3450,2015-10-01,1928.0,2015,104900
3,1,1422,3450,2014-07-01,1919.0,2014,128000
4,1,1309,3450,2022-06-30,1925.0,2022,140000
8,2,1540,3450,2023-07-28,1890.0,2023,152000
4,1,1142,3450,2022-02-09,1921.0,2022,157000
3,1,1512,3450,2023-04-10,1901.0,2023,175000
4,1,1224,3450,2023-03-31,1920.0,2023,210000
2,1,948,3450,2021-04-28,1919.0,2021,240000
4,1,1294,3456,2022-07-28,1949.0,2022,220000
3,1,1046,3465,2017-11-01,1920.0,2017,117000
3,1,1546,3465,2022-11-03,1925.0,2022,150000
3,1,1116,3480,2020-11-13,1921.0,2020,90000
3,1,1259,3480,2022-05-26,1890.0,2022,95800
3,1,1116,3480,2022-08-30,1921.0,2022,100000
4,1,1528,3480,2023-09-19,1892.0,2023,104000
3,1,942,3480,2015-09-01,1927.0,2015,106500
4,2,1380,3480,2021-05-14,1906.0,2021,110000
4,1,1278,3480,2016-06-01,1953.0,2016,125900
2,1,1068,3480,2022-08-09,1936.0,2022,168000
3,1,1688,3480,2022-08-09,1889.0,2022,218000
3,1,1074,3480,2020-09-15,1927.0,2020,220000
5,2,2314,3480,2014-07-01,1925.0,2014,395000
4,2,1224,3500,2021-06-28,1918.0,2021,85000
8,2,1706,3500,2022-01-07,1900.0,2022,91500
6,1,1053,3500,2022-03-18,1884.0,2022,94000
3,1,1148,3500,2020-01-13,1888.0,2020,96900
3,1,1299,3500,2016-07-01,1921.0,2016,99500
4,1,1483,3500,2021-06-03,1903.0,2021,100000
4,1,1310,3500,2022-04-15,1890.0,2022,110000
3,2,1116,3500,2017-05-01,1926.0,2017,113500
3,2,1122,3500,2016-10-01,1974.0,2016,114000
